nome_da_alteracao,descrição ecográfica dos achados,tags,conclusao
bursite subacromial-subdeltoidea (versão 3),Bursite subacromial-subdeltoidea com distensão líquida e espessamento parietal.,"ombro, bursite",Bursite subacromial-subdeltoidea com sinovite associada.
bursite subacromial-subdeltoidea (versão 4),Distensão líquida e espessamento parietal das bursas subacromial-subdeltoidea e subcoracoide.,"ombro, bursite extensa",Bursite subacromial-subdeltoidea e subcoracoide com espessamento sinovial.
rotura do cabo longo do bíceps (versão 1),"Rotura com desinserção proximal do tendão do cabo longo do bíceps, coto retraído ao nível do peitoral maior.","ombro, bíceps, rotura",Rotura completa do cabo longo do bíceps – retração tendínea evidente.
rotura do cabo longo do bíceps (versão 2),Tendão do cabo longo do bíceps não caracterizado em seu trajeto articular e sulco intertuberositário.,"ombro, bíceps, ausência",Achado compatível com rotura ou tenotomia do tendão do cabo longo do bíceps.
rotura do cabo longo do bíceps (versão 3),"Má definição do tendão do cabo longo do bíceps, podendo estar relacionada a rotura ou afilamento.","ombro, bíceps",Suspeita de rotura ou afilamento severo do tendão do bíceps.
artropatia acromioclavicular (versão 1),Espessamento capsuloligamentar da articulação acromioclavicular com irregularidades da superfície articular.,"ombro, articulação acromioclavicular, degeneração",Artropatia acromioclavicular degenerativa leve a moderada.
artropatia acromioclavicular (versão 2),Osteofitose marginal e cisto sinovial junto ao contorno superior da articulação acromioclavicular.,"ombro, acromioclavicular, cisto",Artropatia acromioclavicular com cisto sinovial – provável origem degenerativa.
capsulite adesiva (versão 1),Limitação da rotação externa com dificuldade de avaliação do tendão do subescapular.,"ombro, capsulite, restrição",Achados sugestivos de capsulite adesiva – limitaram o exame.
capsulite adesiva (versão 2),Limitação dinâmica na passagem do tendão do supraespinhal pelo espaço subacromial.,"ombro, capsulite",Achado sugestivo de capsulite adesiva – correlação clínica recomendada.
capsulite adesiva (versão 3),Sinais de espessamento do ligamento coracoumeral.,"ombro, ligamento, capsulite",Espessamento do ligamento coracoumeral – pode estar associado a capsulite adesiva.
epicondilite lateral (versão 1),Tendão comum dos extensores espessado e heterogêneo na origem epicondilar lateral.,"cotovelo, epicondilite lateral",Achados compatíveis com epicondilite lateral (cotovelo do tenista).
epicondilite medial (versão 1),Tendão comum dos flexores com espessamento e ecotextura heterogênea na origem medial.,"cotovelo, epicondilite medial",Achados compatíveis com epicondilite medial (cotovelo do golfista).
bursite olecraniana,"Coleção anecoica compressível sobre o olécrano, medindo 00 mm, com paredes finas.","cotovelo, bursite","Bursite olecraniana simples – achado benigno, sem sinais de septações."
tenossinovite de De Quervain,Espessamento do compartimento extensor I com aumento de líquido peritendíneo e sinovite.,"punho, tenossinovite, dequervain",Achados compatíveis com tenossinovite de De Quervain.
cisto sinovial de punho,"Lesão anecoica com reforço posterior, medindo 00 mm, adjacente à articulação radiocárpica.","punho, cisto sinovial","Cisto sinovial de punho – achado benigno, comum."
sinovite carpal,Aumento do volume sinovial com espessamento sinovial heterogêneo e Doppler positivo.,"punho, sinovite",Achados compatíveis com sinovite inflamatória – sugerido correlação reumatológica.
bursite trocantérica,Distensão líquida da bursa trocantérica com espessamento parietal leve.,"quadril, bursite trocantérica",Bursite trocantérica – achado comum em síndrome dolorosa do quadril.
tendinopatia do glúteo médio,Espessamento e heterogeneidade do tendão do glúteo médio na inserção trocantérica.,"quadril, tendão, glúteo médio",Tendinopatia do glúteo médio – sem evidência de roturas.
cisto paralabral do quadril,"Imagem anecoica com reforço posterior ao redor da articulação coxofemoral, medindo 00 mm.","quadril, cisto paralabral","Cisto paralabral – achado acessório, correlacionar com dor articular."
cisto de Baker,"Imagem anecoica no recesso posteromedial do joelho, medindo 00 mm, entre semimembranoso e gastrocnêmio medial.","joelho, cisto de Baker",Achado compatível com cisto de Baker.
derrame articular no joelho,Distensão líquida na bursa suprapatelar e recesso anterior do joelho.,"joelho, derrame articular",Derrame articular do joelho – correlacionar com sinais inflamatórios ou traumáticos.
tendinopatia patelar,Espessamento e hipoecogenicidade do tendão patelar junto ao pólo inferior da patela.,"joelho, tendão patelar",Tendinopatia patelar – sem evidência de roturas.
tenossinovite dos fibulares,Espessamento dos tendões fibular longo e curto com líquido na bainha sinovial.,"tornozelo, fibulares, tenossinovite",Tenossinovite dos fibulares – achado sugestivo de sobrecarga.
fascite plantar,Espessamento da fáscia plantar proximal (>4 mm) com heterogeneidade da ecotextura.,"pé, fascite plantar",Fascite plantar – sugestiva de processo inflamatório crônico.
neuroma de Morton,"Espessamento focal hipoecoico no espaço interdigital entre metatarsos, medindo 00 mm.","pé, neuroma de Morton",Achado compatível com neuroma de Morton.
tenossinovite de De Quervain (versão 1),Espessamento dos tendões abdutor longo e extensor curto do polegar com aumento de líquido na bainha sinovial.,"punho, de quervain, compartimento extensor I",Tenossinovite de De Quervain – achado compatível com inflamação do primeiro compartimento extensor.
tenossinovite de De Quervain (versão 2),Espessamento fusiforme dos tendões do primeiro compartimento extensor associado a discreto aumento de vascularização ao Doppler.,"punho, tenossinovite, dequervain, doppler positivo",Tenossinovite ativa do compartimento extensor I – inflamação evidente ao Doppler.
cisto sinovial dorsal do punho,"Imagem anecoica, ovalada, medindo 00 mm, com reforço posterior, na região dorsal do punho.","punho, cisto sinovial dorsal","Cisto sinovial dorsal do punho – achado benigno, sem sinais de complicações."
cisto sinovial volar do punho,"Imagem anecoica arredondada, localizada na face volar do punho, entre os tendões flexores.","punho, cisto sinovial volar",Cisto sinovial volar do punho – controle clínico sugerido se sintomático.
sinovite carpal (versão 1),Espessamento sinovial heterogêneo com líquido intra-articular e hipervascularização ao Doppler.,"punho, sinovite, reumatológico",Achados compatíveis com sinovite ativa – avaliação reumatológica recomendada.
sinovite carpal (versão 2),"Aumento volumétrico da sinóvia na articulação radiocárpica, com sinais de proliferação sinovial e líquido adjacente.","punho, sinovite, articulação radiocárpica",Sinovite proliferativa no punho – correlação com doenças inflamatórias sistêmicas sugerida.
tenossinovite dos flexores dos dedos,"Espessamento e líquido na bainha dos tendões flexores, com Doppler positivo no túnel digital.","mão, tenossinovite, flexores",Tenossinovite dos flexores dos dedos – achado compatível com processo inflamatório ativo.
lesão do fibrocartilagem triangular (TFCC),Afinação do complexo fibrocartilaginoso triangular com aumento de líquido na articulação radioulnar distal.,"punho, TFCC, lesão",Achados compatíveis com lesão do TFCC – correlacionar com dor ulnar e instabilidade.
dedo em gatilho (versão 1),"Espessamento focal do tendão flexor no túnel A1, com hipoecogenicidade e distensão do espaço peritendíneo.","mão, dedo em gatilho, tendão flexor",Achados compatíveis com dedo em gatilho – espessamento tendíneo junto ao túnel A1.
nódulo subcutâneo em mão ou punho,"Lesão ovalada, sólida, hipoecoica, localizada no subcutâneo da região palmar, medindo 00 mm.","mão, nódulo subcutâneo, benigno",Nódulo subcutâneo de provável origem benigna – sugestivo de fibromatose palmar ou lipoma.
